code,food_name,water_g,protein_g,fat_g,carbohydrate_available_g,fibre_g,ash_g
07053,"Rabbit meat, stewed (without salt)",51.4,35.8,7.1,0,0,2
07054,"Rabbit meat, roasted (without salt and fat)",62.4,27.7,5.5,0,0,1.5
07055,"Sausage, beef, grilled (without salt and fat)",48.1,16.1,17,0,3,3
07056,"Sausage, frankfurters, boiled (without salt)",59.2,10.3,25.3,0,2,2
07057,"Sausage, liver, grilled (without salt and fat)",40.7,17.3,33.3,0,0,4.1
07058,"Sausage, pork, boiled (without salt)",48,12.5,33.6,0,1,2.7
07059,"Sausage, pork, grilled (without salt and fat)",37.4,16,39,0,2,3.5
08001,"Cod, fillet, raw",81.6,17,0.6,0,0,1.2
08002,"Dagaa fish (omena), dried, raw",11.2,59.5,10.6,0,0,10
08003,"Eel, raw",69.6,17.7,11.7,0,0,1.41
08004,"Herring stock, raw",70.8,18.9,4.3,0,0,2.6
08005,"Lungfish, fillet, raw",80.5,15.9,1,0,0,1.1
08006,"Mudfish (kamongo), fillet, raw",78.3,17.8,3.5,0,0,1.2
08007,"Mackerel, raw",76.8,18.7,5.9,0,0,1.3
08008,"Nile perch, dry, raw",12.2,71.8,10.7,1.2,0,4.2
08009,"Nile perch, fillet w/o bones, raw",77.37,19,0.9,0,0,1.2
08010,"Nile tilapia, fillet, w/o skin and bones, raw",77.6,19.7,1.5,0,0,1.1
08011,"Prawns, flesh, raw",75.1,18.4,1.1,3.9,0,1.6
08012,"Sardine, flesh, raw",71.2,19.5,7.4,0,0,2.1
08013,"Shark, raw",74.4,21.6,0.8,0,0,1.1
08014,"Tuna, raw",68.9,25,2,0,0,1.5
08015,"Cod, fillet, steamed (without salt)",77.5,20.7,0.7,0,0,1.5
08016,"Cod, fillet, grilled (without salt and fat)",75.5,22.7,0.8,0,0,1.6
08017,"Cod, fillet, boiled in recipe (without salt and fat)",77.5,20.7,0.7,0,0,1.5
08018,"Dagaa fish (omena), dried, stewed (without salt)",59.6,27,4.8,0,0,4.5
08019,"Eel, steamed (without salt)",64.8,21.3,12.6,0,0,1.7
08020,"Eel, grilled (without salt and fat)",62.6,23,13.1,0,0,1.8
08021,"Eel, boiled in recipe (without salt and fat)",63.4,21.3,14,0,0,1.7
08022,"Herring stock, steamed (without salt)",64.9,22.7,5.2,0,0,3.1
08023,"Herring stock, grilled (without salt)",62.1,24.5,5.6,0,0,3.4
08024,"Herring stock, boiled in recipe (without salt and fat)",64.9,22.7,5.2,0,0,3.1
08025,"Lungfish, fillet, steamed (without salt)",76.5,19.1,1.2,0,0,1.3
08026,"Lungfish, fillet, grilled (without salt and fat)",74.7,20.6,1.3,0,0,1.4
08027,"Lungfish, fillet, boiled in recipe (without salt and fat)",76.5,19.1,1.2,0,0,1.3
08028,"Mudfish (kamongo), fillet, steamed (without salt)",73.8,21.5,4.2,0,0,1.4
08029,"Mudfish (kamongo), fillet, grilled (without salt and fat)",71.8,23.2,4.5,0,0,1.5
08030,"Mudfish (kamongo), fillet, boiled in recipe (without salt and fat)",73.8,21.5,4.2,0,0,1.4
08031,"Prawns, fresh, steamed (without salt)",69.9,22.2,1.3,5,0,1.9
08032,"Prawns, fresh, grilled (without salt and fat)",71,21.4,1.3,4,0,1.9
08033,"Prawns, fresh, boiled in recipe (without salt and fat)",69.9,22.2,1.3,5,0,1.9
08034,"Sardine, fresh, steamed (without salt)",67.4,23,7.4,0,0,2.5
08035,"Sardine, fresh, grilled (without salt and fat)",63.2,26.8,7.5,0,0,2.9
08036,"Sardine, fresh, boiled in recipe (without salt and fat)",66.2,23,8.7,0,0,2.5
08037,"Shark, steamed (without salt)",69.2,26,1,0,0,1.4
08038,"Shark, grilled (without salt and fat)",66.8,28.1,1.1,0,0,1.5
08039,"Shark, boiled in recipe (without salt and fat)",69.2,26,1,0,0,1.4
08040,"Tuna, steamed (without salt)",61.1,31.2,2.5,0,0,1.8
08041,"Tuna, grilled (without salt and fat)",57.9,33.8,2.7,0,0,2
08042,"Tuna, boiled in recipe (without salt and fat)",61.1,31.2,2.5,0,0,1.8
09001,Animal fat/ lard,1,0,99,0,0,0.3
09002,Corn oil,0,0,99.9,0.1,0,0
09003,Fish liver oil,0,0,100,0,0,0
09004,"Margarine,20% fat",78.8,0,19.5,0.4,0,1.3
09005,"Margarine,60% fat",37.7,0.3,59.8,0.5,0,1.7
09006,"Margarine,80% fat",15,0.1,83,0,0,1.9
